2024-04-04 18:10:24,592 [INFO] You choosed the auto mode!
2024-04-04 18:10:32,010 [INFO] Creating links..
2024-04-04 18:10:32,010 [INFO] ..links creation done!
2024-04-04 18:10:32,137 [INFO] 203: {'endpoints': [113, 114], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,138 [INFO] 204: {'endpoints': [98, 114], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,138 [INFO] 205: {'endpoints': [114, 115], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,139 [INFO] 206: {'endpoints': [99, 115], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,139 [INFO] 207: {'endpoints': [115, 116], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,140 [INFO] 208: {'endpoints': [100, 116], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,140 [INFO] 209: {'endpoints': [116, 117], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,140 [INFO] 210: {'endpoints': [101, 117], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,141 [INFO] 211: {'endpoints': [117, 118], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,141 [INFO] 212: {'endpoints': [102, 118], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,141 [INFO] 213: {'endpoints': [118, 119], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,142 [INFO] 214: {'endpoints': [103, 119], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,143 [INFO] 215: {'endpoints': [119, 120], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,144 [INFO] 216: {'endpoints': [104, 120], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,144 [INFO] 217: {'endpoints': [120, 121], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,145 [INFO] 218: {'endpoints': [105, 121], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,145 [INFO] 219: {'endpoints': [121, 122], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,146 [INFO] 220: {'endpoints': [106, 122], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,146 [INFO] 221: {'endpoints': [122, 123], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,147 [INFO] 222: {'endpoints': [107, 123], 'capacity': 10, 'trafficPerc': 0}
