2024-03-14 16:50:42,835 [INFO] Loading files..
2024-03-14 16:50:42,851 [INFO] Loading network file..
2024-03-14 16:50:42,888 [INFO] ..done!
2024-03-14 16:50:42,890 [INFO] Loading packets file..
2024-03-14 16:50:49,656 [INFO] ..done!
2024-03-14 16:50:49,656 [INFO] Analyzing files..
2024-03-14 16:50:49,656 [INFO] Simulation parameters:
2024-03-14 16:50:49,656 [INFO] {'graphType': 'graph', 'isCustom': True, 'linkCap': None, 'simTime': 4, 'startSimTime': datetime.datetime(2024, 1, 1, 0, 0)}
2024-03-14 16:50:49,694 [DEBUG] UpdateDeltaTraffic sums:
2024-03-14 16:50:49,910 [DEBUG] updateTime: 2024-01-01 00:00:03, packets sum: 61248
2024-03-14 16:50:49,911 [DEBUG] updateTime: 2024-01-01 00:00:03.100000, packets sum: 40000
2024-03-14 16:50:49,911 [DEBUG] updateTime: 2024-01-01 00:00:03.200000, packets sum: 40000
2024-03-14 16:50:49,912 [DEBUG] updateTime: 2024-01-01 00:00:03.300000, packets sum: 40000
2024-03-14 16:50:49,913 [DEBUG] updateTime: 2024-01-01 00:00:03.400000, packets sum: 40000
2024-03-14 16:50:49,914 [DEBUG] updateTime: 2024-01-01 00:00:03.500000, packets sum: 40000
2024-03-14 16:50:49,915 [DEBUG] updateTime: 2024-01-01 00:00:03.600000, packets sum: 40000
2024-03-14 16:50:49,916 [DEBUG] updateTime: 2024-01-01 00:00:03.700000, packets sum: 40000
2024-03-14 16:50:49,916 [DEBUG] updateTime: 2024-01-01 00:00:03.800000, packets sum: 40000
2024-03-14 16:50:49,917 [DEBUG] updateTime: 2024-01-01 00:00:03.900000, packets sum: 40000
2024-03-14 16:50:49,917 [DEBUG] updateTime: 2024-01-01 00:00:04, packets sum: 40000
2024-03-14 16:50:49,918 [DEBUG] link: frozenset({9, 2})
2024-03-14 16:50:49,919 [DEBUG] updateTime: 2024-01-01 00:00:00.100000, packets sum: 113752
2024-03-14 16:50:49,920 [DEBUG] updateTime: 2024-01-01 00:00:00.200000, packets sum: 113752
2024-03-14 16:50:49,921 [DEBUG] updateTime: 2024-01-01 00:00:00.300000, packets sum: 113752
2024-03-14 16:50:49,921 [DEBUG] updateTime: 2024-01-01 00:00:00.400000, packets sum: 113752
2024-03-14 16:50:49,922 [DEBUG] updateTime: 2024-01-01 00:00:00.500000, packets sum: 113752
2024-03-14 16:50:49,924 [DEBUG] updateTime: 2024-01-01 00:00:00.600000, packets sum: 113752
2024-03-14 16:50:49,924 [DEBUG] updateTime: 2024-01-01 00:00:00.700000, packets sum: 113752
2024-03-14 16:50:49,925 [DEBUG] updateTime: 2024-01-01 00:00:00.800000, packets sum: 113752
2024-03-14 16:50:49,926 [DEBUG] updateTime: 2024-01-01 00:00:00.900000, packets sum: 113752
2024-03-14 16:50:49,926 [DEBUG] updateTime: 2024-01-01 00:00:01, packets sum: 113752
2024-03-14 16:50:49,927 [DEBUG] updateTime: 2024-01-01 00:00:01.100000, packets sum: 25000
2024-03-14 16:50:49,927 [DEBUG] updateTime: 2024-01-01 00:00:01.200000, packets sum: 25000
2024-03-14 16:50:49,927 [DEBUG] updateTime: 2024-01-01 00:00:01.300000, packets sum: 25000
2024-03-14 16:50:49,928 [DEBUG] updateTime: 2024-01-01 00:00:01.400000, packets sum: 25000
2024-03-14 16:50:49,928 [DEBUG] updateTime: 2024-01-01 00:00:01.500000, packets sum: 25000
2024-03-14 16:50:49,929 [DEBUG] updateTime: 2024-01-01 00:00:01.600000, packets sum: 25000
2024-03-14 16:50:49,930 [DEBUG] updateTime: 2024-01-01 00:00:01.700000, packets sum: 25000
